id,species,fpkm
Homo_sapiens,Homo_sapiens,/home/luisasantus/Desktop/crg_cluster/data/CrossEvoPred/berthelot/fpkm/do3239_unk_liver_unk_hsa-hg19Homo_sapiensCRI3_CRI01_20M.tophat.cufflinks_genes.fpkm
Macaca_mulatta,Macaca_mulatta,/home/luisasantus/Desktop/crg_cluster/data/CrossEvoPred/berthelot/fpkm/do3239_unk_liver_unk_hsa-hg19Homo_sapiensCRI3_CRI01_20M.tophat.cufflinks_genes.fpkm
